                    Description      Avg. Probes #1      Avg. Probes #2     Avg. of 2 runs
--------------------------------------------------------------------------------
Linear Probing, 66 load factor                  16                  16                  16
Double Hashing, 66 load factor                   8                   8                   8
Linear Probing, 80 load factor                  13                  13                  13
Double Hashing, 80 load factor                   7                   7                   7
--------------------------------------------------------------------------------

Hash Table: Linear Probing
--------------------------------------------------------------------------------
|Index|Value|
|  33 |    0|
|  34 |    0|
|  35 |    0|
|  36 |    0|
|  37 |    0|
|  38 |    0|
|  39 |    0|
|  40 |    0|
|  41 |    0|
|  42 |    0|
|  43 |    0|
|  44 |    0|
|  45 |    0|
|  46 |    0|
|  47 |    0|
|  48 |    0|
|  49 |    0|
|  50 |    0|
|  51 |    0|
|  52 |    0|
|  53 |    0|
|  54 |    0|
|  55 |    0|
|  56 |    0|
|  57 |    0|
|  58 |    0|
|  59 |    0|
|  60 |    0|
|  61 |    0|
|  62 |    0|
|  63 |    0|
|  64 |    0|
|  65 |    0|
|  66 |    0|
|  67 |    0|
|  68 |    0|
|  69 |    0|
|  70 |    0|
|  71 |    0|
|  72 |    0|
|  73 |    0|
|  74 |    0|
|  75 |    0|
|  76 |    0|
|  77 |    0|
|  78 |    0|
|  79 |    0|
|  80 |    0|
|  81 |    0|
|  82 |    0|
|  83 |    0|
|  84 |    0|
|  85 |    0|
|  86 |    0|
|  87 |    0|
|  88 |    0|
|  89 |    0|
|  90 |    0|
|  91 |    0|
|  92 |    0|
|  93 |    0|
|  94 |    0|
|  95 |    0|
|  96 |    0|
|  97 |    0|
|  98 |    0|
|  99 |    0|
| 100 |    0|
| 101 |    0|
| 102 |    0|
| 103 |    0|
| 104 |    0|
| 105 |    0|
| 106 |    0|
| 107 |    0|
| 108 |    0|
| 109 |    0|
| 110 |    0|
| 111 |    0|
| 112 |    0|
| 113 |    0|
| 114 |    0|
| 115 |    0|
| 116 |    0|
| 117 |    0|
| 118 |    0|
| 119 |    0|
| 120 |    0|
| 121 |    0|
| 122 |    0|
| 123 |    0|
| 124 |    0|
| 125 |    0|
| 126 |    0|
| 127 |    0|
| 128 |    0|
| 129 |    0|
| 130 |    0|
| 131 |    0|
| 132 |    0|
| 133 |    0|
| 134 |    0|
| 135 |    0|
| 136 |    0|
| 137 |    0|
| 138 |    0|
| 139 |    0|
| 140 |    0|
| 141 |    0|
| 142 |    0|
| 143 |    0|
| 144 |    0|
| 145 |    0|
| 146 |    0|
| 147 |    0|
| 148 |    0|
| 149 |    0|
| 150 |    0|
| 151 |    0|
| 152 |    0|
| 153 |    0|
| 154 |    0|
| 155 |    0|
| 156 |    0|
| 157 |    0|
| 158 |    0|
| 159 |    0|
| 160 |    0|
| 161 |    0|
| 162 |    0|
| 163 |    0|
| 164 |    0|
| 165 |    0|
| 166 |    0|
| 167 |    0|
| 168 |    0|
| 169 |    0|
| 170 |    0|
| 171 |    0|
| 172 |    0|
| 173 |    0|
| 174 |    0|
| 175 |    0|
| 176 |    0|
| 177 |    0|
| 178 |    0|
| 179 |    0|
| 180 |    0|
| 181 |    0|
| 182 |    0|
| 183 |    0|
| 184 |    0|
| 185 |    0|
| 186 |    0|
| 187 |    0|
| 188 |    0|
| 189 |    0|
| 190 |    0|
| 191 |    0|
| 192 |    0|
| 193 |    0|
| 194 |    0|
| 195 |    0|
| 196 |    0|
| 197 |    0|
| 198 |    0|
| 199 |    0|
| 200 |    0|
| 201 |    0|
| 202 |    0|
| 203 |    0|
| 204 |    0|
| 205 |    0|
| 206 |    0|
| 207 |    0|
| 208 |    0|
| 209 |    0|
| 210 |    0|
| 211 |    0|
| 212 |    0|
| 213 |    0|
| 214 |    0|
| 215 |    0|
| 216 |    0|
| 217 |    0|
| 218 |    0|
| 219 |    0|
| 220 |    0|
| 221 |    0|
| 222 |    0|
| 223 |    0|
| 224 |    0|
| 225 |    0|
| 226 |    0|
| 227 |    0|
| 228 |    0|
| 229 |    0|
| 230 |    0|
| 231 |    0|
| 232 |    0|
| 233 |    0|
| 234 |    0|
| 235 |    0|
| 236 |    0|
| 237 |    0|
| 238 |    0|
| 239 |    0|
| 240 |    0|
| 241 |    0|
| 242 |    0|
| 243 |    0|
| 244 |    0|
| 245 |    0|
| 246 |    0|
| 247 |    0|
| 248 |    0|
| 249 |    0|
| 250 |    0|
| 251 |    0|
| 252 |    0|
| 253 |    0|
| 254 |    0|
| 255 |    0|
| 256 |    0|
| 257 |    0|
| 258 |    0|
| 259 |    0|
| 260 |    0|
| 261 |    0|
| 262 |    0|
| 263 |    0|
| 264 |    0|
| 265 |    0|
| 266 |    0|
| 267 |    0|
| 268 |    0|
| 269 |    0|
| 270 |    0|
| 271 |    0|
| 272 |    0|
| 273 |    0|
| 274 |    0|
| 275 |    0|
| 276 |    0|
| 277 |    0|
| 278 |    0|
| 279 |    0|
| 280 |    0|
| 281 |    0|
| 282 |    0|
| 283 |    0|
| 284 |    0|
| 285 |    0|
| 286 |    0|
| 287 |    0|
| 288 |    0|
| 289 |    0|
| 290 |    0|
| 291 |    0|
| 292 |    0|
| 293 |    0|
| 294 |    0|
| 295 |    0|
| 296 |    0|
| 297 |    0|
| 298 |    0|
| 299 |    0|
| 300 |    0|
| 301 |    0|
| 302 |    0|
| 303 |    0|
| 304 |    0|
| 305 |    0|
| 306 |    0|
| 307 |    0|
| 308 |    0|
| 309 |    0|
| 310 |    0|
--------------------------------------------------------------------------------

Hash Table: Linear Probing
--------------------------------------------------------------------------------
|Index|Value|
|-----|-----|
|   0 |  248|
|   1 | 5583|
|   2 | 7466|
|   3 | 1558|
|   4 | 6846|
|   5 | 9024|
|   6 | 9025|
|   7 | 7481|
|   8 | 1561|
|   9 | 8095|
|  10 | 2498|
|  11 | 9960|
|  12 | 9646|
|  13 | 9957|
|  14 | 9655|
|  15 | 1259|
|  16 | 5303|
|  17 | 3118|
|  18 | 2817|
|  19 | 8105|
|  20 | 4681|
|  21 | 4064|
|  22 | 2815|
|  23 | 5615|
|  24 | 1268|
|  25 | 4363|
|  26 | 7777|
|  27 | 8424|
|  28 | 8425|
|  29 | 5621|
|  30 | 2476|
|  31 | 7788|
|  32 |  343|
|  33 | 1265|
|  34 | 4699|
|  35 | 9676|
|  36 | 3318|
|  37 |   28|
|  38 |  936|
|  39 | 2656|
|  40 | 4394|
|  41 |  663|
|  42 | 2841|
|  43 | 4086|
|  44 |  666|
|  45 | 8887|
|  46 | 3804|
|  47 | 2224|
|  48 | 5327|
|  49 | 1915|
|  50 | 2538|
|  51 | 9373|
|  52 | 1918|
|  53 | 1919|
|  54 | 4649|
|  55 | 3775|
|  56 | 9063|
|  57 | 5031|
|  58 | 9382|
|  59 | 8145|
|  60 | 1926|
|  61 | 3775|
|  62 | 2229|
|  63 | 5039|
|  64 | 8150|
|  65 | 6907|
|  66 | 4406|
|  67 | 5653|
|  68 | 1602|
|  69 | 3801|
|  70 | 5961|
|  71 | 3796|
|  72 | 8158|
|  73 | 3183|
|  74 | 4739|
|  75 | 6917|
|  76 | 1942|
|  77 | 5360|
|  78 |  389|
|  79 | 3500|
|  80 | 2217|
|  81 | 1014|
|  82 |   82|
|  83 | 1944|
|  84 | 5682|
|  85 | 2555|
|  86 | 7234|
|  87 | 9999|
|  88 | 6308|
|  89 |  386|
|  90 | 8798|
|  91 | 5679|
|  92 | 9422|
|  93 |  712|
|  94 | 8180|
|  95 | 8803|
|  96 | 7542|
|  97 | 5384|
|  98 | 4452|
|  99 | 5075|
| 100 | 2875|
| 101 | 1925|
| 102 | 2590|
| 103 | 3524|
| 104 | 2538|
| 105 | 1646|
| 106 | 9098|
| 107 | 3807|
| 108 | 3529|
| 109 | 1042|
| 110 | 8411|
| 111 | 8193|
| 112 |  423|
| 113 |  298|
| 114 | 1599|
| 115 |  426|
| 116 | 1671|
| 117 | 2597|
| 118 | 3539|
| 119 | 3851|
| 120 | 6024|
| 121 | 3853|
| 122 | 3498|
| 123 |  121|
| 124 | 2293|
| 125 | 5071|
| 126 | 7576|
| 127 | 1993|
| 128 | 7592|
| 129 | 3209|
| 130 | 8921|
| 131 | 6662|
| 132 | 2930|
| 133 | 9463|
| 134 | 1378|
| 135 | 5717|
| 136 | 7600|
| 137 | 9463|
| 138 | 6040|
| 139 | 4804|
| 140 | 2305|
| 141 | 7605|
| 142 | 1676|
| 143 | 1378|
| 144 | 8541|
| 145 |  758|
| 146 | 2634|
| 147 | 4501|
| 148 |  756|
| 149 | 8232|
| 150 | 2318|
| 151 | 8839|
| 152 | 2324|
| 153 | 7608|
| 154 | 7307|
| 155 |  777|
| 156 | 7606|
| 157 | 1090|
| 158 | 1713|
| 159 |  460|
| 160 | 2954|
| 161 | 1094|
| 162 | 1713|
| 163 | 1718|
| 164 | 2341|
| 165 | 9806|
| 166 |  782|
| 167 | 3273|
| 168 | 7610|
| 169 | 9810|
| 170 | 2964|
| 171 | 2659|
| 172 | 3593|
| 173 | 6393|
| 174 | 3284|
| 175 |  175|
| 176 | 5152|
| 177 | 5464|
| 178 | 1111|
| 179 |  777|
| 180 | 1111|
| 181 | 3282|
| 182 | 7953|
| 183 | 5775|
| 184 | 1386|
| 185 | 7604|
| 186 | 8272|
| 187 | 6712|
| 188 | 2365|
| 189 | 4854|
| 190 | 6089|
| 191 | 2368|
| 192 | 7340|
| 193 | 5480|
| 194 | 1085|
| 195 | 3271|
| 196 | 1687|
| 197 | 3286|
| 198 | 9839|
| 199 | 6108|
| 200 | 4243|
| 201 |  137|
| 202 | 1748|
| 203 | 9834|
| 204 | 1137|
| 205 | 2070|
| 206 | 7359|
| 207 | 2692|
| 208 |  439|
| 209 | 6429|
| 210 | 1143|
| 211 | 3010|
| 212 | 6093|
| 213 |  830|
| 214 | 6742|
| 215 | 6435|
| 216 | 2668|
| 217 | 5172|
| 218 | 1462|
| 219 |  204|
| 220 | 1464|
| 221 | 2709|
| 222 | 4253|
| 223 | 1463|
| 224 | 2712|
| 225 | 3014|
| 226 | 1154|
| 227 | 3642|
| 228 | 5515|
| 229 | 2087|
| 230 | 1147|
| 231 | 5198|
| 232 | 2399|
| 233 | 3642|
| 234 | 5515|
| 235 |  833|
| 236 | 2724|
| 237 | 7390|
| 238 | 4281|
| 239 | 1476|
| 240 | 1787|
| 241 | 2724|
| 242 | 9255|
| 243 | 6463|
| 244 | 8641|
| 245 | 7087|
| 246 | 9265|
| 247 | 7089|
| 248 | 1783|
| 249 | 7091|
| 250 | 8318|
| 251 | 9581|
| 252 | 5850|
| 253 | 9538|
| 254 | 8651|
| 255 | 8855|
| 256 |  567|
| 257 | 5855|
| 258 |  569|
| 259 | 5546|
| 260 | 8968|
| 261 | 7404|
| 262 | 3061|
| 263 |  538|
| 264 | 6166|
| 265 | 3997|
| 266 | 5553|
| 267 | 6176|
| 268 | 1201|
| 269 | 4623|
| 270 | 6793|
| 271 | 4314|
| 272 | 6145|
| 273 | 2761|
| 274 | 8049|
| 275 | 8355|
| 276 | 7296|
| 277 |  899|
| 278 | 1210|
| 279 | 1478|
| 280 | 2080|
| 281 | 8367|
| 282 | 4786|
| 283 | 2139|
| 284 | 4327|
| 285 | 3395|
| 286 | 3838|
| 287 | 5882|
| 288 | 4498|
| 289 | 5233|
| 290 | 3710|
| 291 | 2749|
| 292 | 1225|
| 293 | 8347|
| 294 | 8380|
| 295 | 6515|
| 296 | 1851|
| 297 | 1540|
| 298 |  292|
| 299 | 5272|
| 300 | 2788|
| 301 | 4655|
| 302 | 2790|
| 303 | 8379|
| 304 | 7448|
| 305 | 8385|
| 306 | 4349|
| 307 | 2171|
| 308 | 8705|
| 309 | 7874|
| 310 | 3824|
--------------------------------------------------------------------------------

Hash Table: Linear Probing
--------------------------------------------------------------------------------
|Index|Value|
|-----|-----|
|   0 |    0|
|   1 |    0|
|   2 |    0|
|   3 |    0|
|   4 |    0|
|   5 |    0|
|   6 |    0|
|   7 |    0|
|   8 |    0|
|   9 |    0|
|  10 |    0|
|  11 |    0|
|  12 |    0|
|  13 |    0|
|  14 |    0|
|  15 |    0|
|  16 |    0|
|  17 |    0|
|  18 |    0|
|  19 |    0|
|  20 |    0|
|  21 |    0|
|  22 |    0|
|  23 |    0|
|  24 |    0|
|  25 |    0|
|  26 |    0|
|  27 |    0|
|  28 |    0|
|  29 |    0|
|  30 |    0|
|  31 |    0|
|  32 |    0|
|  33 |    0|
|  34 |    0|
|  35 |    0|
|  36 |    0|
|  37 |    0|
|  38 |    0|
|  39 |    0|
|  40 |    0|
|  41 |    0|
|  42 |    0|
|  43 |    0|
|  44 |    0|
|  45 |    0|
|  46 |    0|
|  47 |    0|
|  48 |    0|
|  49 |    0|
|  50 |    0|
|  51 |    0|
|  52 |    0|
|  53 |    0|
|  54 |    0|
|  55 |    0|
|  56 |    0|
|  57 |    0|
|  58 |    0|
|  59 |    0|
|  60 |    0|
|  61 |    0|
|  62 |    0|
|  63 |    0|
|  64 |    0|
|  65 |    0|
|  66 |    0|
|  67 |    0|
|  68 |    0|
|  69 |    0|
|  70 |    0|
|  71 |    0|
|  72 |    0|
|  73 |    0|
|  74 |    0|
|  75 |    0|
|  76 |    0|
|  77 |    0|
|  78 |    0|
|  79 |    0|
|  80 |    0|
|  81 |    0|
|  82 |    0|
|  83 |    0|
|  84 |    0|
|  85 |    0|
|  86 |    0|
|  87 |    0|
|  88 |    0|
|  89 |    0|
|  90 |    0|
|  91 |    0|
|  92 |    0|
|  93 |    0|
|  94 |    0|
|  95 |    0|
|  96 |    0|
|  97 |    0|
|  98 |    0|
|  99 |    0|
| 100 |    0|
| 101 |    0|
| 102 |    0|
| 103 |    0|
| 104 |    0|
| 105 |    0|
| 106 |    0|
| 107 |    0|
| 108 |    0|
| 109 |    0|
| 110 |    0|
| 111 |    0|
| 112 |    0|
| 113 |    0|
| 114 |    0|
| 115 |    0|
| 116 |    0|
| 117 |    0|
| 118 |    0|
| 119 |    0|
| 120 |    0|
| 121 |    0|
| 122 |    0|
| 123 |    0|
| 124 |    0|
| 125 |    0|
| 126 |    0|
| 127 |    0|
| 128 |    0|
| 129 |    0|
| 130 |    0|
| 131 |    0|
| 132 |    0|
| 133 |    0|
| 134 |    0|
| 135 |    0|
| 136 |    0|
| 137 |    0|
| 138 |    0|
| 139 |    0|
| 140 |    0|
| 141 |    0|
| 142 |    0|
| 143 |    0|
| 144 |    0|
| 145 |    0|
| 146 |    0|
| 147 |    0|
| 148 |    0|
| 149 |    0|
| 150 |    0|
| 151 |    0|
| 152 |    0|
| 153 |    0|
| 154 |    0|
| 155 |    0|
| 156 |    0|
| 157 |    0|
| 158 |    0|
| 159 |    0|
| 160 |    0|
| 161 |    0|
| 162 |    0|
| 163 |    0|
| 164 |    0|
| 165 |    0|
| 166 |    0|
| 167 |    0|
| 168 |    0|
| 169 |    0|
| 170 |    0|
| 171 |    0|
| 172 |    0|
| 173 |    0|
| 174 |    0|
| 175 |    0|
| 176 |    0|
| 177 |    0|
| 178 |    0|
| 179 |    0|
| 180 |    0|
| 181 |    0|
| 182 |    0|
| 183 |    0|
| 184 |    0|
| 185 |    0|
| 186 |    0|
| 187 |    0|
| 188 |    0|
| 189 |    0|
| 190 |    0|
| 191 |    0|
| 192 |    0|
| 193 |    0|
| 194 |    0|
| 195 |    0|
| 196 |    0|
| 197 |    0|
| 198 |    0|
| 199 |    0|
| 200 |    0|
| 201 |    0|
| 202 |    0|
| 203 |    0|
| 204 |    0|
| 205 |    0|
| 206 |    0|
| 207 |    0|
| 208 |    0|
| 209 |    0|
| 210 |    0|
| 211 |    0|
| 212 |    0|
| 213 |    0|
| 214 |    0|
| 215 |    0|
| 216 |    0|
| 217 |    0|
| 218 |    0|
| 219 |    0|
| 220 |    0|
| 221 |    0|
| 222 |    0|
| 223 |    0|
| 224 |    0|
| 225 |    0|
| 226 |    0|
| 227 |    0|
| 228 |    0|
| 229 |    0|
| 230 |    0|
| 231 |    0|
| 232 |    0|
| 233 |    0|
| 234 |    0|
| 235 |    0|
| 236 |    0|
| 237 |    0|
| 238 |    0|
| 239 |    0|
| 240 |    0|
| 241 |    0|
| 242 |    0|
| 243 |    0|
| 244 |    0|
| 245 |    0|
| 246 |    0|
| 247 |    0|
| 248 |    0|
| 249 |    0|
| 250 |    0|
| 251 |    0|
| 252 |    0|
| 253 |    0|
| 254 |    0|
| 255 |    0|
| 256 |    0|
| 257 |    0|
| 258 |    0|
| 259 |    0|
| 260 |    0|
| 261 |    0|
| 262 |    0|
| 263 |    0|
| 264 |    0|
| 265 |    0|
| 266 |    0|
| 267 |    0|
| 268 |    0|
| 269 |    0|
| 270 |    0|
| 271 |    0|
| 272 |    0|
| 273 |    0|
| 274 |    0|
| 275 |    0|
| 276 |    0|
| 277 |    0|
| 278 |    0|
| 279 |    0|
| 280 |    0|
| 281 |    0|
| 282 |    0|
| 283 |    0|
| 284 |    0|
| 285 |    0|
| 286 |    0|
| 287 |    0|
| 288 |    0|
| 289 |    0|
| 290 |    0|
| 291 |    0|
| 292 |    0|
| 293 |    0|
| 294 |    0|
| 295 |    0|
| 296 |    0|
| 297 |    0|
| 298 |    0|
| 299 |    0|
| 300 |    0|
| 301 |    0|
| 302 |    0|
| 303 |    0|
| 304 |    0|
| 305 |    0|
| 306 |    0|
| 307 |    0|
| 308 |    0|
| 309 |    0|
| 310 |    0|
--------------------------------------------------------------------------------

Hash Table: Linear Probing
--------------------------------------------------------------------------------
|Index|Value|
|-----|-----|
|   0 |    0|
|   1 |    0|
|   2 |    0|
|   3 |    0|
|   4 |    0|
|   5 |    0|
|   6 |    0|
|   7 |    0|
|   8 |    0|
|   9 |    0|
|  10 |    0|
|  11 |    0|
|  12 |    0|
|  13 |    0|
|  14 |    0|
|  15 |    0|
|  16 |    0|
|  17 |    0|
|  18 |    0|
|  19 |    0|
|  20 |    0|
|  21 |    0|
|  22 |    0|
|  23 |    0|
|  24 |    0|
|  25 |    0|
|  26 |    0|
|  27 |    0|
|  28 |    0|
|  29 |    0|
|  30 |    0|
|  31 |    0|
|  32 |    0|
|  33 |    0|
|  34 |    0|
|  35 |    0|
|  36 |    0|
|  37 |    0|
|  38 |    0|
|  39 |    0|
|  40 |    0|
|  41 |    0|
|  42 |    0|
|  43 |    0|
|  44 |    0|
|  45 |    0|
|  46 |    0|
|  47 |    0|
|  48 |    0|
|  49 |    0|
|  50 |    0|
|  51 |    0|
|  52 |    0|
|  53 |    0|
|  54 |    0|
|  55 |    0|
|  56 |    0|
|  57 |    0|
|  58 |    0|
|  59 |    0|
|  60 |    0|
|  61 |    0|
|  62 |    0|
|  63 |    0|
|  64 |    0|
|  65 |    0|
|  66 |    0|
|  67 |    0|
|  68 |    0|
|  69 |    0|
|  70 |    0|
|  71 |    0|
|  72 |    0|
|  73 |    0|
|  74 |    0|
|  75 |    0|
|  76 |    0|
|  77 |    0|
|  78 |    0|
|  79 |    0|
|  80 |    0|
|  81 |    0|
|  82 |    0|
|  83 |    0|
|  84 |    0|
|  85 |    0|
|  86 |    0|
|  87 |    0|
|  88 |    0|
|  89 |    0|
|  90 |    0|
|  91 |    0|
|  92 |    0|
|  93 |    0|
|  94 |    0|
|  95 |    0|
|  96 |    0|
|  97 |    0|
|  98 |    0|
|  99 |    0|
| 100 |    0|
| 101 |    0|
| 102 |    0|
| 103 |    0|
| 104 |    0|
| 105 |    0|
| 106 |    0|
| 107 |    0|
| 108 |    0|
| 109 |    0|
| 110 |    0|
| 111 |    0|
| 112 |    0|
| 113 |    0|
| 114 |    0|
| 115 |    0|
| 116 |    0|
| 117 |    0|
| 118 |    0|
| 119 |    0|
| 120 |    0|
| 121 |    0|
| 122 |    0|
| 123 |    0|
| 124 |    0|
| 125 |    0|
| 126 |    0|
| 127 |    0|
| 128 |    0|
| 129 |    0|
| 130 |    0|
| 131 |    0|
| 132 |    0|
| 133 |    0|
| 134 |    0|
| 135 |    0|
| 136 |    0|
| 137 |    0|
| 138 |    0|
| 139 |    0|
| 140 |    0|
| 141 |    0|
| 142 |    0|
| 143 |    0|
| 144 |    0|
| 145 |    0|
| 146 |    0|
| 147 |    0|
| 148 |    0|
| 149 |    0|
| 150 |    0|
| 151 |    0|
| 152 |    0|
| 153 |    0|
| 154 |    0|
| 155 |    0|
| 156 |    0|
| 157 |    0|
| 158 |    0|
| 159 |    0|
| 160 |    0|
| 161 |    0|
| 162 |    0|
| 163 |    0|
| 164 |    0|
| 165 |    0|
| 166 |    0|
| 167 |    0|
| 168 |    0|
| 169 |    0|
| 170 |    0|
| 171 |    0|
| 172 |    0|
| 173 |    0|
| 174 |    0|
| 175 |    0|
| 176 |    0|
| 177 |    0|
